id_capture;id_turtle;capture_recapture;flipper_tag_1;flipper_tag_2;specie;date;campaing;season;site;area;capture_time;body_condition;weight_kg;CCL;tumors;tumor_index
1099;1099;capture;BR87001;BR87002;Chelonia mydas;27/04/2014;I;autumn;Ilha do mel;6;NA;good;4.1;32.4;0;NA
1100;1100;capture;BR87003;BR87004;Chelonia mydas;28/04/2014;I;autumn;Ilha do mel;6;NA;good;5.7;39.8;0;NA
1101;1101;capture;BR87005;BR87006;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;6.4;38.7;0;NA
1102;1102;capture;BR87007;BR87009;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;9.6;43.8;0;NA
1103;1103;capture;BR87010;BR87011;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;6.4;39.9;0;NA
1104;1104;capture;BR87012;BR87013;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;5.8;36.3;0;NA
1105;1105;capture;BR87014;BR87015;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;6.9;40.7;0;NA
1106;1106;capture;BR87016;BR87017;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;4.3;31.9;0;NA
1107;1107;capture;BR87018;BR87019;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;7.3;38.1;0;NA
1108;1108;capture;BR87020;BR87021;Chelonia mydas;29/04/2014;I;autumn;Ilha das Cobras;1;NA;good;NA;43.2;1;NA
1109;1109;capture;BR87022;BR87023;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;9.2;42.5;0;NA
1110;1110;capture;BR87024;BR87025;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;8.2;38.9;1;NA
1111;1111;capture;BR87049;BR87050;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;7.1;38.5;0;NA
1112;1112;capture;BR87047;BR87048;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;6.8;38;0;NA
1113;1113;capture;BR87045;BR87046;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;regular;4.2;32.8;0;NA
1114;1114;capture;BR87043;BR87044;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;6.9;39.4;0;NA
1115;1115;capture;BR87041;BR87042;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;13.8;47.8;0;NA
1116;1116;capture;BR87039;BR87040;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;6.2;37.8;0;NA
1117;1117;capture;BR87037;BR87038;Chelonia mydas;30/04/2014;I;autumn;Ilha das Cobras;1;NA;good;7.2;40.2;0;NA
1118;1118;capture;BR87035;BR87036;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;9.3;41.8;0;NA
1119;1119;capture;BR87033;BR87034;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;11;45;1;NA
1120;1120;capture;BR87031;BR87032;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;5.8;35.4;1;NA
1121;1121;capture;BR87028;BR87029;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;14.9;48.2;0;NA
1122;1122;capture;BR87026;BR87027;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;11.8;44.9;0;NA
1123;1123;capture;BR87030;BR87100;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;11.2;44;0;NA
1124;1124;capture;BR87099;BR87098;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;9.2;42.3;0;NA
1125;1125;capture;BR87096;BR87097;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;7.6;39.7;0;NA
1126;1126;capture;BR87092;BR87093;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;15.4;51.5;1;NA
1127;1127;capture;BR87094;BR87095;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;11.8;46;0;NA
1128;1128;capture;BR87090;BR87091;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;8.8;40.2;0;NA
1129;1129;capture;BR87088;BR87089;Chelonia mydas;01/05/2014;I;autumn;Ilha das Cobras;1;NA;good;8.2;41.5;1;NA
1130;1130;capture;BR87076;BR87077;Chelonia mydas;02/05/2014;I;autumn;Ilha das Cobras;1;NA;good;11.2;44.5;1;NA
1131;1131;capture;BR87078;BR87079;Chelonia mydas;02/05/2014;I;autumn;Ilha das Cobras;1;NA;good;13.2;48.9;0;NA
1132;1132;capture;BR87080;BR87081;Chelonia mydas;02/05/2014;I;autumn;Ilha das Cobras;1;NA;good;11.8;45;1;NA
1133;1133;capture;BR87082;BR87083;Chelonia mydas;02/05/2014;I;autumn;Ilha das Cobras;1;NA;good;10.2;42.7;0;NA
1134;1134;capture;BR87086;BR87087;Chelonia mydas;02/05/2014;I;autumn;Ilha das Cobras;1;NA;good;4.2;32.2;0;NA
